O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source,category,raw_weight,weight,ai_exposure,contribution
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",10989,"Use materials such as pens and ink, watercolors, charcoal, oil, or computer software to create artwork.",Core,50.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",10990,"Integrate and develop visual elements, such as line, space, mass, color, and perspective, to produce desired effects, such as the illustration of ideas, emotions, or moods.",Core,50.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",10991,"Confer with clients, editors, writers, art directors, and other interested parties regarding the nature and content of artwork to be produced.",Core,50.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",10993,"Maintain portfolios of artistic work to demonstrate styles, interests, and abilities.",Core,50.0,07/2017,Incumbent,Other,1,0.010526315789473684,0.5,0.005263157894736842
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",20990,"Market artwork through brochures, mailings, or Web sites.",Core,50.0,07/2017,Incumbent,Other,1,0.010526315789473684,0.5,0.005263157894736842
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",10997,Study different techniques to learn how to apply them to artistic endeavors.,Core,50.0,07/2017,Incumbent,Other,1,0.010526315789473684,0.5,0.005263157894736842
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",10996,"Monitor events, trends, and other circumstances, research specific subject areas, attend art exhibitions, and read art publications to develop ideas and keep current on art world activities.",Core,50.0,07/2017,Incumbent,Creative Direction,4,0.042105263157894736,0.6,0.02526315789473684
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",20991,"Photograph objects, places, or scenes for reference material.",Core,50.0,07/2017,Incumbent,Other,1,0.010526315789473684,0.5,0.005263157894736842
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",11011,"Model substances such as clay or wax, using fingers and small hand tools to form objects.",Supplemental,50.0,07/2017,Incumbent,Other,1,0.010526315789473684,0.5,0.005263157894736842
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",11000,"Create sculptures, statues, and other three-dimensional artwork by using abrasives and tools to shape, carve, and fabricate materials such as clay, stone, wood, or metal.",Supplemental,50.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",20992,Set up exhibitions of artwork for display or sale.,Supplemental,50.0,07/2017,Incumbent,Communication,2,0.021052631578947368,0.4,0.008421052631578947
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",10998,"Render drawings, illustrations, and sketches of buildings, manufactured products, or models, working from sketches, blueprints, memory, models, or reference materials.",Supplemental,50.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",11003,"Shade and fill in sketch outlines and backgrounds, using a variety of media such as water colors, markers, and transparent washes, labeling designated colors when necessary.",Supplemental,49.0,07/2017,Incumbent,Creative Production,5,0.05263157894736842,0.85,0.04473684210526315
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",20993,Frame and mat artwork for display or sale.,Supplemental,50.0,07/2017,Incumbent,Other,1,0.010526315789473684,0.5,0.005263157894736842
