O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source,category,raw_weight,weight,ai_exposure,contribution
47-2111.00,Electricians,2882,Prepare sketches or follow blueprints to determine the location of wiring or equipment and to ensure conformance to building and safety codes.,Core,56.0,08/2022,Incumbent,Planning & Design,3,0.03488372093023256,0.5,0.01744186046511628
47-2111.00,Electricians,2888,"Place conduit, pipes, or tubing, inside designated partitions, walls, or other concealed areas, and pull insulated wires or cables through the conduit to complete circuits between boxes.",Core,56.0,08/2022,Incumbent,Physical Execution,5,0.05813953488372093,0.05,0.0029069767441860465
47-2111.00,Electricians,2887,"Work from ladders, scaffolds, or roofs to install, maintain, or repair electrical wiring, equipment, or fixtures.",Core,56.0,08/2022,Incumbent,Physical Execution,5,0.05813953488372093,0.05,0.0029069767441860465
47-2111.00,Electricians,2883,"Use a variety of tools or equipment, such as power construction equipment, measuring devices, power tools, and testing equipment, such as oscilloscopes, ammeters, or test lamps.",Core,56.0,08/2022,Incumbent,Physical Execution,5,0.05813953488372093,0.05,0.0029069767441860465
47-2111.00,Electricians,2873,"Assemble, install, test, or maintain electrical or electronic wiring, equipment, appliances, apparatus, or fixtures, using hand tools or power tools.",Core,56.0,08/2022,Incumbent,Physical Execution,5,0.05813953488372093,0.05,0.0029069767441860465
47-2111.00,Electricians,2875,"Connect wires to circuit breakers, transformers, or other components.",Core,56.0,08/2022,Incumbent,Physical Execution,5,0.05813953488372093,0.05,0.0029069767441860465
47-2111.00,Electricians,2879,Maintain current electrician's license or identification card to meet governmental regulations.,Core,54.0,08/2022,Incumbent,Administration & Compliance,2,0.023255813953488372,0.7,0.01627906976744186
47-2111.00,Electricians,2880,"Plan layout and installation of electrical wiring, equipment, or fixtures, based on job specifications and local codes.",Core,55.0,08/2022,Incumbent,Planning & Design,3,0.03488372093023256,0.5,0.01744186046511628
47-2111.00,Electricians,2881,"Direct or train workers to install, maintain, or repair electrical wiring, equipment, or fixtures.",Core,55.0,08/2022,Incumbent,Physical Execution,5,0.05813953488372093,0.05,0.0029069767441860465
47-2111.00,Electricians,2878,"Test electrical systems or continuity of circuits in electrical wiring, equipment, or fixtures, using testing devices, such as ohmmeters, voltmeters, or oscilloscopes, to ensure compatibility and safety of system.",Core,54.0,08/2022,Incumbent,Diagnostics & Troubleshooting,4,0.046511627906976744,0.3,0.013953488372093023
47-2111.00,Electricians,2874,"Diagnose malfunctioning systems, apparatus, or components, using test equipment and hand tools to locate the cause of a breakdown and correct the problem.",Core,55.0,08/2022,Incumbent,Diagnostics & Troubleshooting,4,0.046511627906976744,0.3,0.013953488372093023
47-2111.00,Electricians,2876,"Inspect electrical systems, equipment, or components to identify hazards, defects, or the need for adjustment or repair, and to ensure compliance with codes.",Core,55.0,08/2022,Incumbent,Diagnostics & Troubleshooting,4,0.046511627906976744,0.3,0.013953488372093023
47-2111.00,Electricians,2884,"Install ground leads and connect power cables to equipment, such as motors.",Core,55.0,08/2022,Incumbent,Physical Execution,5,0.05813953488372093,0.05,0.0029069767441860465
47-2111.00,Electricians,2877,Advise management on whether continued operation of equipment could be hazardous.,Core,55.0,08/2022,Incumbent,Physical Execution,5,0.05813953488372093,0.05,0.0029069767441860465
47-2111.00,Electricians,2886,"Repair or replace wiring, equipment, or fixtures, using hand tools or power tools.",Core,56.0,08/2022,Incumbent,Physical Execution,5,0.05813953488372093,0.05,0.0029069767441860465
47-2111.00,Electricians,20439,"Construct or fabricate parts, using hand tools, according to specifications.",Core,56.0,08/2022,Incumbent,Physical Execution,5,0.05813953488372093,0.05,0.0029069767441860465
47-2111.00,Electricians,2892,Provide preliminary sketches or cost estimates for materials or services.,Core,55.0,08/2022,Incumbent,Planning & Design,3,0.03488372093023256,0.5,0.01744186046511628
47-2111.00,Electricians,2885,"Perform business management duties, such as maintaining records or files, preparing reports, or ordering supplies or equipment.",Core,55.0,08/2022,Incumbent,Administration & Compliance,2,0.023255813953488372,0.7,0.01627906976744186
47-2111.00,Electricians,2890,Fasten small metal or plastic boxes to walls to house electrical switches or outlets.,Core,55.0,08/2022,Incumbent,Physical Execution,5,0.05813953488372093,0.05,0.0029069767441860465
47-2111.00,Electricians,2891,"Perform physically demanding tasks, such as digging trenches to lay conduit or moving or lifting heavy objects.",Core,54.0,08/2022,Incumbent,Physical Execution,5,0.05813953488372093,0.05,0.0029069767441860465
47-2111.00,Electricians,2893,"Provide assistance during emergencies by operating floodlights or generators, placing flares, or driving needed vehicles.",Supplemental,55.0,08/2022,Incumbent,Emergency / Irregular Tasks,1,0.011627906976744186,0.1,0.0011627906976744186
