"Task","category","weight","ai_exposure","contribution"
"Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.","System Design","0.05970149253731343","0.6","0.035820895522388055"
"Develop or direct software system testing or validation procedures, programming, or documentation.","Debugging & Testing","0.07462686567164178","0.75","0.05597014925373134"
"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.","System Design","0.05970149253731343","0.6","0.035820895522388055"
"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.","Maintenance & Refactoring","0.05970149253731343","0.8","0.04776119402985075"
"Prepare reports or correspondence concerning project specifications, activities, or status.","Collaboration & Communication","0.04477611940298507","0.3","0.01343283582089552"
"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.","System Design","0.05970149253731343","0.6","0.035820895522388055"
"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.","Coding & Implementation","0.07462686567164178","0.85","0.06343283582089551"
"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design.","Coding & Implementation","0.07462686567164178","0.85","0.06343283582089551"
"Determine system performance standards.","System Design","0.05970149253731343","0.6","0.035820895522388055"
"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.","System Design","0.05970149253731343","0.6","0.035820895522388055"
"Confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.","System Design","0.05970149253731343","0.6","0.035820895522388055"
"Monitor functioning of equipment to ensure system operates in conformance with specifications.","Deployment & DevOps","0.04477611940298507","0.5","0.022388059701492536"
"Coordinate installation of software system.","Deployment & DevOps","0.04477611940298507","0.5","0.022388059701492536"
"Supervise the work of programmers, technologists and technicians and other engineering and scientific personnel.","System Design","0.05970149253731343","0.6","0.035820895522388055"
"Supervise and assign work to programmers, designers, technologists, technicians, or other engineering or scientific personnel.","System Design","0.05970149253731343","0.6","0.035820895522388055"
"Obtain and evaluate information on factors such as reporting formats required, costs, or security needs to determine hardware configuration.","System Design","0.05970149253731343","0.6","0.035820895522388055"
"Train users to use new or modified equipment.","Collaboration & Communication","0.04477611940298507","0.3","0.01343283582089552"
