O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
15-1252.00,Software Developers,21662,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,Core,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21669,"Develop or direct software system testing or validation procedures, programming, or documentation.",Core,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21664,"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.",Core,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21670,"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.",Core,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21673,"Prepare reports or correspondence concerning project specifications, activities, or status.",Core,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21661,"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",Core,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21676,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Core,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21667,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design.",Core,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21668,Determine system performance standards.,Core,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21665,"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",Core,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21663,Confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.,Core,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21671,Monitor functioning of equipment to ensure system operates in conformance with specifications.,Supplemental,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21666,Coordinate installation of software system.,Supplemental,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21678,"Supervise the work of programmers, technologists and technicians and other engineering and scientific personnel.",Supplemental,71.0,08/2025,Incumbent
15-1252.00,Software Developers,21677,"Supervise and assign work to programmers, designers, technologists, technicians, or other engineering or scientific personnel.",Supplemental,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21672,"Obtain and evaluate information on factors such as reporting formats required, costs, or security needs to determine hardware configuration.",Supplemental,72.0,08/2025,Incumbent
15-1252.00,Software Developers,21679,Train users to use new or modified equipment.,Supplemental,72.0,08/2025,Incumbent
